target,Subdoligranulum,Bifidobacterium,Coprobacillus,Escherichia,Enterobacter,Bacteroides,Akkermansia,Prevotella,Blautia,Alistipes,Ruminococcus,Eubacterium,Collinsella,Lactobacillus,Parabacteroides,Faecalibacterium,Porphyromonas,Streptococcus,Clostridium,Siphoviridae_noname,Methanobrevibacter,Megamonas,Acidaminococcus,Fusobacterium,Butyrivibrio,Coprococcus,Klebsiella,Roseburia,Megasphaera,Dialister,Parvimonas,Lachnospiraceae_noname,Dorea,Paraprevotella,Erysipelotrichaceae_noname,Bilophila,Odoribacter,Clostridiales_noname,Eggerthella,Desulfovibrio,Citrobacter,Anaerostipes,Phascolarctobacterium,Catenibacterium,Sutterella,Enterococcus,Pseudomonas,Veillonella,Peptostreptococcaceae_noname,Mitsuokella,Oscillibacter,Barnesiella,Peptostreptococcus,Sutterellaceae_unclassified,Bacteroidales_noname,Slackia,C2likevirus,Ruminococcaceae_noname,Haemophilus,Propionibacterium,Adlercreutzia,Acidaminococcaceae_unclassified,Coriobacteriaceae_noname,Solobacterium,Anaerotruncus,Coprobacter,Gemella,Turicibacter,Flavonifractor,Actinomyces,Oxalobacter,Clostridiaceae_noname,Lactococcus,Gordonibacter,Holdemania,Burkholderiales_noname,Atopobium,Rothia,Parasutterella,Alloscardovia,Granulicatella,Olsenella,Leuconostoc,Pseudoflavonifractor,Clostridiales_Family_XIII_Incertae_Sedis_noname,Pantoea,Corynebacterium,Candidatus_Saccharibacteria_noname,Butyricimonas,Scardovia,Clostridiales_Family_XIII_Incertae_Sedis_unclassified,Saccharomyces,Oribacterium,Candidatus_Saccharibacteria_noname_unclassified,Deinococcus,Potyvirus,Neisseria,Abiotrophia,Bacillus,Campylobacter,Raoultella
0,0.1814987,0.11807,0,8.045e-4,0,0.0772099,0.0186326,7.000000000000001e-5,0.0275934,0.0978743,0.095488,0.1212517,1.521e-4,0,0.0078133,0.0574508,0,9.884e-4,0.0241392,0,0,0,0,0,5.399000000000001e-4,0.0616653,0,0.0140039,0,0,4.23e-5,0.016477,0.0059437,0,6.33e-5,0.003658,0.002183,2.448e-4,6.62e-5,3.39e-5,0,0.0160608,0.0354775,0,0,0,0,2.174e-4,5.183e-4,0,7.191e-4,0,5.999999999999999e-6,0,0.0043642,1.2e-6,6.97e-5,2.18e-5,5.740000000000001e-5,0,8.374e-4,0,0.0012314,9.19e-5,2.862e-4,0.0012687,3.56e-5,0,3.1e-6,5.18e-5,0,0,9.2e-6,5.270000000000001e-5,0.0012321,0.0021898,0,1.74e-4,7.943e-4,0,5.999999999999999e-6,2.51e-5,0,6.02e-5,2.13e-5,0,0,1.35e-5,0,0,1.46e-5,0,0,2.1e-6,0,0,0,0,0,0,0
0,0.00969319999999999,0,0,1.25e-4,0,0.1048796,0.0042821,0.5897533,0.0164498,0.031107,0.0117531,0.0310346,4.059999999999999e-4,7.219999999999999e-5,0.0125039,0.0207465,0,0.0025828,0.0246262,0.0012211,7.920000000000001e-4,0,0,0,9.18e-5,0.0120953,0,0.0835631,0,0,0,0.0038842,0.0017699,0,2.243e-4,0.0034326,0.0015742,1.35e-5,1.62e-5,7.049999999999999e-5,0,3.611e-4,0.0243292,0,0,0,0,6.971e-4,0,0,5.570000000000001e-5,0.0030054,0,0,2.923e-4,0,0,0,4.8e-6,0,0,0,5.500000000000001e-6,0,3.626e-4,3.88e-4,0,0,1.101e-4,0,0,2.748e-4,0,0,7.137000000000001e-4,1.49e-5,0,0,1.198e-4,0,0,0,0,0,0,0,0,4.5e-6,0,0,0,1.638e-4,0,3.7e-5,0,0,0,0,0,0,0
0,0.0424145,0.0580378,1.09e-5,3.119e-4,7.1e-6,0.0341419,0.0076497,0.0624317,0.057399,0.0054022,0.1124196,0.1615759,0.0112646,0,0.0092114,0.0981895,0,0.0100521,0.0431171,0.0370137,0,0,0.00426,0,2.44e-5,0.0093737,0,0.0529652,3.880999999999999e-4,0.10114480000000001,1.8e-6,0.0047868,0.0351253,0,3.271e-4,0.0037157,0.0015627,1.6e-6,1.72e-5,0,0,0.0022295,0,0,0.0157595,4.986999999999999e-4,0.0021436,8.594000000000001e-4,8.672e-4,4.22e-5,0.001956,0.0029269,0,0,0.0029966,2.57e-5,0,3.6e-6,8.928e-4,0.0014747,0,0,0,2.54e-5,4.776e-4,2.3e-6,9.61e-5,0,1.45e-5,3.542e-4,0,0,8.43e-5,6.5e-4,4.213e-4,0,8.33e-5,2.12e-5,0,0,6.55e-5,2.15e-5,2.135e-4,1.465e-4,1.5e-6,0,0,0,0,0,9.6e-5,0,0,0,0,0,0,0,0,0,0
0,0.0358229,0.0095308,4.577e-4,0.07056219999999999,0,0.1442575,0.0069273,0,0.0470036,0.01654,0.2108518,0.1511454,4.02e-5,2.604e-4,0.0186867,0.0347622,0,0.0372464,0.0016127,0.0239147,0,0,0,0,0,0.0210691,0,0.0662726,0,6.6e-6,0,0.0086748,0.0150729,0.0215438,0.0014332,0.0039844,0.0037232,0,8.525000000000001e-4,0.0010162,0,1.371e-4,0.0032787,0,8.301e-4,3.6e-6,0,1.73e-5,0.0027811,0,0.0031252,0.0207041,0,0,9.398e-4,0,0,5.61e-5,0.0012017,0,0.0017664,0,0.0044824,0,4.067e-4,0,0,0.0012246,5.417999999999999e-4,2.155e-4,2.43e-5,1.559e-4,3.317e-4,2.7e-6,0.0011009,6.475000000000001e-4,6.6e-6,2.019e-4,0.0011467,0,1.356e-4,0,9.186e-4,8.9e-6,0,0,1.37e-5,5.7e-5,1.08e-5,2.38e-5,1.82e-5,0,0,7.3e-6,0,0,0,0,0,0,0
0,0.1499968,0.0396921,9.4e-6,0.0155535,0,0.1346236,0.0226911,3.06e-5,0.045621,0.0440603,0.068618,0.149939,0.0015673,3.571e-4,0.0151105,0.0810594,0,0.0296512,0.0050126,0.0109893,0.0484067,0,0,0,8.79e-5,0.0190876,0,0.0219975,0,0.0108436,4.74e-5,0.0077214,0.0237148,0,3.8e-6,0.0043462,0.00587439999999999,0,0,0,0,0.0013665,0,0,0,0.0137249,0,1.187e-4,1.654e-4,0,0.0032481,0.0163446,7.4e-6,0,7.55e-4,7.962e-4,3.21e-5,7.97e-5,6.29e-5,0,9.72e-5,0,0.0030533,1.023e-4,1.587e-4,0,1.523e-4,0,8.7e-6,4.83e-5,3.43e-5,0,5.88e-5,0,2.72e-5,2.11e-5,1.198e-4,6.912e-4,2.897e-4,8.03e-5,5.19e-5,8.09e-5,1.724e-4,1.84e-5,5.96e-5,0,2.785e-4,4.760000000000001e-5,0,3.17e-5,2.614e-4,0,0,0,0,0,0,0,0,0,0
0,0.0173646,0.0133853,0,1.152e-4,0,0.0278045,1.173e-4,0.0848742,0.0227764,0.0012141,0.0187961,0.1271842,0.0222824,4.919e-4,0.0030748,0.1025512,0,0.0018233,7.11e-5,0,0,0.0048826,0,0,0.1104632,0.2312603,0,0.0449221,0,0,1.26e-5,0.0030377,0.0546126,0.0036445,0.0039328,0.001637,0,0,3.75e-5,8.255999999999999e-4,0,0.0015995,0.0726758,0,0.0114106,0,0,1.98e-5,0.005614,5.969999999999999e-5,1.687e-4,0.0036588,1.85e-5,0,0,0,1.37e-5,0,4.019e-4,0,2.95e-5,0,0,1.18e-5,3.335e-4,0,2.081e-4,0,0,2.84e-5,0,0,0,7.060000000000001e-5,6.93e-5,0,0,5.87e-5,0,0,3.95e-5,5.32e-5,0,0,4.799999999999999e-5,0,0,2.05e-5,0,0,1.083e-4,0,0,0,0,0,0,0,0,0,0
0,0.0095396,0.1990898,0,0.0177509,0,0.131696,0.0097833,3.4e-5,0.0307188,0.0254296,0.1431298,0.1476089,0.0092652,0,0.0273443,0.0976741,0,0.0022212,0.0049597,0,0.0131432,0,0,0,0.0105193,0.0130961,0,0.0107171,0,4.299999999999999e-6,1.9e-6,0.0190378,0.0075443,0.0126235,1.94e-5,0.0095768,0.003472,0,7.164e-4,3.62e-5,0,0.0031509,0,0,0.0144561,0,9.96e-5,1.659e-4,0.0016177,8.630000000000001e-5,0.0017034,0.0090743,1.316e-4,0,0.0041659,9.1e-6,0,0,0.0045309,0,4.932000000000001e-4,1.25e-5,0,0,8.043999999999999e-4,8.024000000000001e-4,6.53e-5,0,0,3.7e-5,0,0,0,4.11e-5,7.64e-5,0,1.29e-5,0.0012109,0,0,1.67e-5,1.64e-5,0,0,0,0,0,0,0,4.26e-5,1.404e-4,0,0,4.2e-5,0,0,0,0,0,0,0
1,0.0314709,0.0029612,0.0023079,0.1068372,2.93e-5,0.1085872,0.0146717,8.05e-5,0.0314555,0.0205317,0.120855,0.0503207,4.956e-4,1.111e-4,0.0057657,0.002221,6.5e-5,0.0082693,0.029152,0,0.3622846,0,3.891e-4,0,5.953e-4,4.6e-5,0,0.0046875,0,0,0.0024015,0.0054648,0.0016275,2.576e-4,0.0045056,0.0028213,0.0033808,0,3.365e-4,6.372e-4,0.0159077,9.21e-5,0,0,0,4.26e-5,0,0,0.0076707,1.959e-4,7.881e-4,0.0117408,2.646e-4,1.234e-4,0.0037695,0,0,5.339e-4,8.769e-4,8.510000000000001e-5,5.78e-5,0,0.0189889,2.413e-4,0.0021702,0.0013907,0,7.253e-4,1.793e-4,2.198e-4,0,0,0.0013769,0,5.48e-5,0,0,5.463e-4,1.56e-5,0,0,4.84e-5,0,2.541e-4,1.05e-5,0,0,0,0,0,3.667e-4,0,0,1.263e-4,0,0,0,0,0,0,0
0,0.08173920000000001,0.1487709,5.8e-6,1.56e-5,0,0.1575741,0.0102269,0.0198422,0.016493,0.0071185,0.0220087,0.2133696,0.0097841,0.0024393,0.0086405,0.0521099,0,0.0039362,3.04e-4,0,0,0,0,0,0,0.0964316,0,0.0292457,0,0.0348737,3.1e-6,0.0174036,0.0269347,0.0034343,3.95e-5,0,0.0025619,0,2.85e-5,0,0,0.0020313,0,0.0182935,0,8.704e-4,0,1.614e-4,4.75e-5,0,5.621000000000001e-4,0.0103506,8.400000000000001e-6,1.343e-4,0,0,0,0,1.04e-5,0,1.74e-5,0,0,0,1.235e-4,8.99e-5,0,0,0,0,0,0,1.322e-4,0,7.5e-6,0,0,2.48e-5,0,0,0,0,2.062e-4,0,0,0,0,0,0,0,2.38e-5,0,0,4.2e-6,0,0,0,0,0,0,0
0,0.1322032,0.0489961,4.19e-5,9.643e-4,0,0.2303787,0.0080549,0.0046184,0.0431102,0.0662204,0.0044719,0.05320610000000001,0.0128627,0.0342405,0.03133030000000001,0.0729267,5.85e-5,0.0572186,0.0076202,5.461e-4,0.0299957,0,0.0101964,0,1.232e-4,0.0323498,0,0.047764,0,0,0,0.0034759,0.00603519999999999,0,3.463e-4,0.0070929,0.0228904,5.71e-5,8.824e-4,8.98e-5,0,2.451e-4,0,0,0,0,0,8.795e-4,0,7.89e-5,0.0031826,0.0101548,3.12e-5,5.337e-4,0.0011205,0,1.502e-4,2.47e-5,7.994e-4,1.48e-5,0.0010341,0,9.94e-4,3.4e-5,6.854000000000001e-4,0.0069079,2.2e-5,0,7.41e-5,1.503e-4,0,7.83e-5,1.85e-5,1.911e-4,7.371e-4,0,5.4e-6,8.580000000000001e-5,0,0,1.33e-5,2.02e-5,0,3.46e-5,0,0,0,1.36e-5,0,0,6.18e-5,0,1.8e-6,8.1e-6,0,0,0,0,0,0,0
